Title,Company,Experience,Salary,Location,Posted_days_ago,Applications,Employment Type,Role,Education,B.Tech/B.E,B.Sc,BCA,M.Tech,MBA,MCA,M.Sc,Ph.D,Database,Testing,Programming,Web Development,Cloud Computing,Data-Driven Technologies,Project Management & DevOps,Analysis & BI,Mobile Development,Cybersecurity & API Management,Containers & Orchestration
boomi admin,hcltech,expereince,not disclosed,noida,2.0,15.0, full time,it & information security - other,ug,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
platform reliability engineering sre,product based client,expereince,30-45,hyderabad,1.0,16.0, full time,devops - other,ug,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
director engineering - software development,radiance software technology,freshers,40-50,coimbatore,1.0,10.0, full time,head - engineering,both,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
hiring for data analytics -us shift,digile technologies,expereince,15-30,hiring office located in bengaluru,10.0,1420.0, full time,data science & analytics - other,ug,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
hiring for data analytics - contract role -us shift,digile technologies,expereince,not disclosed,hiring office located in bengaluru,10.0,303.0, full time,data analyst,ug,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
data engineer,leading analytics consulting firm in ind...,expereince,15-25,bhubaneswar,2.0,197.0, full time,data engineer,both,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
account manager google or aws cloud sales,sonata software,expereince,not disclosed,chennai,2.0,63.0, full time,key account manager,ug,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
technical professional - linux & windows - cloud migrations,leading client,expereince,not disclosed,noida,1.0,10.0, full time,cloud system administration,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
cybersecurity professional,athena consultancy services.,freshers,not disclosed,noida,1.0,10.0, full time,cyber security,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
java architect,tata consultancy services,freshers,not disclosed,hyderabad,0.0,10.0, full time,it & information security - other,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,panch mahals,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,valsad,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,kheda,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,bharuch,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,surendranagar,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,mehsana,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,vadodara,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,surat,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,rajkot,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,gandhinagar,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,bhavnagar,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,jamnagar,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,ahmedabad,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,pune,1.0,11.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,nashik,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,nagpur,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,sindhudurg,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,palghar,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,thane,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,navi mumbai,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,mumbai,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,mumbai suburban,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,sonipat,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,meerut,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,hapur,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,gurugram,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,faridabad,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,ghaziabad,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,greater noida,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,noida,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
team lead (supervisor),intouchcx,expereince,not disclosed,hyderabad,1.0,10.0, full time,assistant manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
data architect with aws expertise,luxoft,expereince,not disclosed,chennai,1.0,10.0, full time,technical architect,ug,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data architect with aws expertise,luxoft,expereince,not disclosed,bengaluru,1.0,10.0, full time,technical architect,ug,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data architect with aws expertise,luxoft,expereince,not disclosed,gurugram,1.0,10.0, full time,technical architect,ug,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lead engineer, vp",deutsche bank,freshers,not disclosed,pune,1.0,10.0, full time,head - engineering,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
principal information security manager,deutsche bank,expereince,not disclosed,pune,1.0,10.0, full time,manager information security,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
data engineer,accenture,expereince,not disclosed,pune,1.0,10.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
technology architect,accenture,expereince,not disclosed,noida,1.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
technology architect,accenture,expereince,not disclosed,bengaluru,1.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
application developer,accenture,expereince,not disclosed,bengaluru,1.0,10.0, full time,database analyst,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
"data governance technology lead, vp",deutsche bank,expereince,not disclosed,pune,1.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0
application designer,accenture,expereince,not disclosed,bengaluru,1.0,10.0, full time,infrastructure architect,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
sap basis professional,tata consultancy services,expereince,not disclosed,noida,1.0,10.0, full time,technical consultant,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
sap basis professional,tata consultancy services,expereince,not disclosed,pune,1.0,10.0, full time,technical consultant,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
sap basis professional,tata consultancy services,expereince,not disclosed,mumbai,1.0,10.0, full time,technical consultant,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
sap basis professional,tata consultancy services,expereince,not disclosed,hyderabad,1.0,19.0, full time,technical consultant,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
sap basis professional,tata consultancy services,expereince,not disclosed,bengaluru,1.0,23.0, full time,technical consultant,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
sr principal software engineer,ukg,freshers,not disclosed,pune,1.0,10.0, full time,technical architect,both,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
principal software architect,opentext,expereince,not disclosed,bengaluru,1.0,10.0, full time,technical architect,both,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
sr devops engineer,ukg,expereince,not disclosed,noida,1.0,114.0, full time,devops engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
sr principal site reliability engineer,ukg,expereince,not disclosed,noida,1.0,10.0, full time,site reliability engineer,both,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
ci engineer,infosys,expereince,not disclosed,bengaluru,1.0,10.0, full time,blockchain quality assurance engineer,both,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
java project manager,infosys,expereince,not disclosed,hyderabad,1.0,10.0, full time,technical architect,both,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
java project manager,infosys,expereince,not disclosed,bengaluru,1.0,10.0, full time,technical architect,both,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
azure developer,infosys,expereince,not disclosed,bengaluru,1.0,10.0, full time,technical architect,both,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1
java & springboot lead,infosys,expereince,not disclosed,coimbatore,1.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0
java & springboot lead,infosys,expereince,not disclosed,chennai,1.0,28.0, full time,technical architect,both,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0
anz_cloud analyst_c1-pnc_offshore,leading client,expereince,not disclosed,bengaluru,1.0,43.0, full time,system analyst,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
gcp sre + terraform professional,leading client,expereince,not disclosed,uttar pradesh,1.0,10.0, full time,site reliability engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
.net project manager,infosys,expereince,not disclosed,pune,1.0,10.0, full time,it project manager,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
java project manager,infosys,expereince,not disclosed,pune,1.0,10.0, full time,project manager,both,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0
.net project manager,infosys,expereince,not disclosed,hyderabad,1.0,10.0, full time,it project manager,both,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
senior software architect,thoughtfocus,freshers,not disclosed,bengaluru,1.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
data engineer - d,capgemini,expereince,not disclosed,mumbai,1.0,84.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
lead - developer,eventus security,expereince,not disclosed,ahmedabad,1.0,10.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
data scientist iii,walmart,expereince,not disclosed,chennai,1.0,12.0, full time,data scientist,both,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
"engineer iii, software","f5 networks, inc",expereince,not disclosed,hyderabad,1.0,10.0, full time,software development - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
"full time, noida",thinksys software,expereince,not disclosed,noida,1.0,10.0, full time,translator,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
golang developer,nichetech computer solutions,freshers,not disclosed,ahmedabad,1.0,44.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
sandals - mm ptrofessional,walkaroo international,expereince,not disclosed,mysuru,1.0,10.0, full time,kitchen / f&b production - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
senior software engineer (backend systems),enphase energy,expereince,not disclosed,bengaluru,1.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
lead backend engineer,level ai,expereince,not disclosed,noida,1.0,10.0, full time,head - engineering,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
senior ai / ml engineer,y combinator,expereince,not disclosed,hyderabad,1.0,10.0, full time,search engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
full stack,galaxeye,expereince,not disclosed,bengaluru,1.0,13.0, full time,database architect / designer,both,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
head of assessment,testlify,freshers,not disclosed,mumbai,1.0,10.0, full time,business head,both,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
senior data scientist,upsmart solutions,expereince,not disclosed,bengaluru,1.0,10.0, full time,data scientist,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
modelling & data science executive,aegis media,expereince,not disclosed,chennai,1.0,10.0, full time,data science & analytics - other,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
it support,cognida,expereince,not disclosed,hyderabad,1.0,10.0, full time,it support - other,both,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
network engineer,cradlepoint,expereince,not disclosed,gurugram,1.0,10.0, full time,network (support) engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
senior data & analytics quality engineer,ventra health,expereince,not disclosed,hyderabad,1.0,10.0, full time,data science & analytics - other,ug,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
senior sre devops,tech prescient,expereince,not disclosed,hiring office located in bengaluru,1.0,157.0, full time,it infrastructure services - other,both,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
senior staff software development engineer - dev ops,zscaler softech,expereince,not disclosed,bengaluru,1.0,10.0, full time,search engineer,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
cloud consultant,fgrade global services,expereince,3.5-6,hyderabad,1.0,26.0, full time,cloud consultant,ug,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
axway b2b module lead-service support,sopra steria,expereince,not disclosed,noida,1.0,11.0, full time,technical lead,pg,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
informatica administrator,anveta,expereince,not disclosed,navi mumbai,1.0,10.0, full time,other,ug,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
idam (okta)_ ms in,leading client,expereince,not disclosed,maharashtra,2.0,10.0, full time,manager information security,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
cloud transformation architect,leading client,expereince,not disclosed,bengaluru,2.0,35.0, full time,infrastructure architect,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
data engineer_gcp build,leading client,expereince,not disclosed,mumbai,2.0,69.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0
cloud devops engineer-anz bank-c1-pnc_offshore role1,leading client,expereince,not disclosed,bengaluru,2.0,245.0, full time,devops engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
solution / delivery architect - d,capgemini,expereince,not disclosed,mumbai,2.0,10.0, full time,solution architect,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0
senior software engineer-docker; kubernetes 3. aws/google cloud,capgemini,expereince,not disclosed,bengaluru,2.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
technology architect,accenture,expereince,not disclosed,coimbatore,2.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
application developer,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,search engineer,both,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
application developer,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
application lead,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
application developer,accenture,expereince,not disclosed,mumbai,2.0,10.0, full time,database administrator,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
application developer,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
gcp ccai dialogflow,capgemini,expereince,not disclosed,hyderabad,2.0,10.0, full time,technical architect,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0
application developer,accenture,expereince,not disclosed,hyderabad,2.0,17.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
application lead,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
application developer,accenture,expereince,not disclosed,coimbatore,2.0,10.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0
pyspark developer,capgemini,expereince,not disclosed,noida,2.0,13.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
application developer,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0
financial planning & analysis representa,accenture,expereince,not disclosed,mumbai,2.0,10.0, full time,financial analyst,both,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
cloud platform engineer,accenture,expereince,not disclosed,mumbai,2.0,13.0, full time,database administrator,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
security advisor,accenture,expereince,not disclosed,coimbatore,2.0,10.0, full time,security administrator,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
cloud platform engineer,accenture,expereince,not disclosed,chennai,2.0,10.0, full time,cloud system administration,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
gcp practice lead,capgemini,expereince,not disclosed,mumbai,2.0,10.0, full time,solution architect,both,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0
application lead,accenture,expereince,not disclosed,coimbatore,2.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
splunk enterprise security engineer,capgemini,expereince,not disclosed,bengaluru,2.0,12.0, full time,security engineer / analyst,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
application lead,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,solution architect,both,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
devops engineer,accenture,expereince,not disclosed,bengaluru,2.0,60.0, full time,devops engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
application lead,accenture,expereince,not disclosed,chennai,2.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
application developer,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,full stack developer,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
telecom strategy consulting,capgemini,expereince,not disclosed,pune,2.0,14.0, full time,strategic management - other,both,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
application developer,accenture,expereince,not disclosed,noida,2.0,10.0, full time,data warehouse developer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
technology consulting practitioner,accenture,expereince,not disclosed,noida,2.0,20.0, full time,devops - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
i&f decision sci practitioner specialist,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,business analyst,both,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0
cloud platform engineer,accenture,expereince,not disclosed,pune,2.0,18.0, full time,cloud system administration,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
technology architect,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,technical architect,both,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
data platform engineer,accenture,expereince,not disclosed,hyderabad,2.0,10.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
cloud platform engineer,accenture,expereince,not disclosed,bengaluru,2.0,35.0, full time,cloud system administration,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
data engineer,accenture,expereince,not disclosed,pune,2.0,42.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
data platform engineer,accenture,expereince,not disclosed,pune,2.0,20.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
application lead,accenture,expereince,not disclosed,bengaluru,2.0,10.0, full time,devops manager,both,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1
data platform engineer,accenture,expereince,not disclosed,pune,2.0,10.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
data engineer,accenture,expereince,not disclosed,pune,2.0,45.0, full time,data engineer,both,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
consulting n advisory_generic,infosys,expereince,not disclosed,bengaluru,2.0,10.0, full time,sr. consultant,both,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
responsible ai engineer,accenture,expereince,not disclosed,chennai,2.0,10.0, full time,technical lead,both,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
it consulting,infosys,expereince,not disclosed,bengaluru,2.0,55.0, full time,practice manager / head,both,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0
security delivery specialist,accenture,expereince,not disclosed,hyderabad,2.0,15.0, full time,it & information security - other,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0
cybersecurity architect,leading client,expereince,not disclosed,bengaluru,2.0,10.0, full time,security architect / consultant,ug,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
zscaler cloud security administrator,leading client,expereince,not disclosed,karnataka,2.0,15.0, full time,cloud system administration,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1
cloud devops & python developer,leading client,expereince,not disclosed,hyderabad,2.0,35.0, full time,data platform engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
enterprise network architect,leading client,expereince,not disclosed,bengaluru,2.0,10.0, full time,solution architect,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
lead - software development,kenscio digital marketing,expereince,not disclosed,bengaluru,2.0,21.0, full time,head - devops,both,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
java developer / java + react / lead java developer,hiring for client and industry is it ser...,expereince,not disclosed,hyderabad,2.0,297.0, full time,technical architect,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
avp - data science and analytics (modelling),transunion,expereince,not disclosed,mumbai,2.0,20.0, full time,head - data science,both,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
lead software engineer,museum of art and photography,expereince,not disclosed,bengaluru,2.0,10.0, full time,software development - other,both,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1
computer vision engineer,lucent innovation,expereince,not disclosed,ahmedabad,2.0,10.0, full time,computer vision,both,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"infrastructure engineer, aws",natwest services,expereince,not disclosed,bengaluru,2.0,16.0, full time,site reliability engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0
cloud engineer,cloudifyops,expereince,not disclosed,bengaluru,2.0,137.0, full time,site reliability engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
cloud engineer,workfusion,expereince,not disclosed,pune,2.0,17.0, full time,site reliability engineer,both,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1
"sap basis administrator, aws fintech",amazon,expereince,not disclosed,hyderabad,2.0,28.0, full time,database administrator,both,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
senior windows engineer,ust,expereince,not disclosed,thiruvananthapuram,2.0,11.0, full time,site reliability engineer,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
quest global__senior cloud engineer _bangalore,quest global,expereince,not disclosed,bangalore rural,2.0,119.0, full time,technology / it - other,both,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
senior automation engineer,nice,expereince,not disclosed,pune,2.0,331.0, full time,automation test engineer,both,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
project manager - java,bristlecone,expereince,not disclosed,bengaluru,2.0,364.0, full time,project manager,ug,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
sap solution architect lead,enprise enlisting,freshers,15-20,bangalore rural,2.0,10.0, full time,infrastructure architect,both,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sap basis lead,sify,expereince,16-30,hyderabad,2.0,24.0, full time,technical lead,both,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
